ABC Report,Relatório de ABC
Accounting & Finance,Contabilidade e Finanças
Accounting Details,Detalhes Contábeis
Active,Ativo
Activity Code,Código de Atividade
Actual Arrival,Chegada Efetiva (ATA)
Actual Cost,Custo Real
Actual Departure,Saída Efetiva (ATD)
Actual Revenue,Receita Real
Ad-Hoc Factors Settings,Configurações de Ad-Hoc Factors
Additional Details,Detalhes de Additional
Additional Settings,Configurações de Additional
Address,Endereço
"Aduana, Cotações & Projetos","Aduana, Cotações e Projetos"
Agent Concentration,Concentração por Agente
Agents,Agentes de Carga
Aging & Overdue,Vencimentos e Inadimplência
Aging &amp; Trends,Vencimentos e Tendências
Air Booking,Reserva Aérea (Air Booking)
Air Booking Charges,Cobranças da Reserva Aérea
Air Booking Packages,Volumes da Reserva Aérea
Air Bookings,Reservas Aéreas
Air Consolidation,Consolidação Aérea
Air Consolidation Charges,Cobranças de Consolidação Aérea
Air Consolidation Packages,Volumes de Consolidação Aérea
Air Consolidation Report,Relatório de Consolidação Aérea
Air Consolidations,Consolidações Aéreas
Air Freight,Frete Aéreo
Air Freight Cost Analysis,Análise de Custo de Frete Aéreo
Air Freight On-Time Performance Report,Relatório de Pontualidade do Frete Aéreo
Air Freight Operations Dashboard,Painel Operacional do Frete Aéreo
Air Freight Performance Dashboard,Painel de Desempenho do Frete Aéreo
Air Freight Revenue Analysis,Análise de Receita de Frete Aéreo
Air Freight Settings,Configurações de Frete Aéreo
Air Shipment,Embarque Aéreo (Air Shipment)
Air Shipment Charges,Cobranças do Embarque Aéreo
Air Shipment Packages,Volumes de Embarque Aéreo (Air Shipment)
Air Shipment Status Report,Relatório de Status de Embarques Aéreos
Air Shipments,Embarques Aéreos
Airline,Companhia Aérea
Airline Concentration,Concentração por Companhia Aérea
Airline Concenttration,Concentração por Companhia Aérea
Airline Membership,Afiliação a Companhias Aéreas
Airline Organizations,Associações e Entidades Aéreas
Airline Performance Report,Relatório de Desempenho de Companhias Aéreas
Airlines,Companhias Aéreas
Airport,Aeroporto
Alert Settings,Configurações de Alert
Amount,Valor
Amount Details,Detalhes de Valor
Analytics & Insights,Análises e Indicadores
Apply Charges,Cobranças de Apply
Apply Selected Charges,Cobranças de Apply Selected
Approved,Aprovado
Arrival Date,Data de Chegada (ETA)
Arrived,Chegou ao Destino
Attachment,Anexo
Attachments,Anexos
Auto-Populate Settings,Configurações de Auto-Populate
Auto-Populate UNLOCO Details,Detalhes de Auto-Populate UNLOCO
