ABC Report,Relatório de ABC
Accounting Details,Detalhes Contábeis
Active,Ativo
Actual Arrival,Chegada Efetiva (ATA)
Actual Cost,Custo Real
Actual Departure,Saída Efetiva (ATD)
Actual Revenue,Receita Real
Ad-Hoc Factors Settings,Configurações de Ad-Hoc Factors
Additional Details,Detalhes de Additional
Additional Settings,Configurações de Additional
Address,Endereço
Air Booking,Reserva Aérea (Air Booking)
Air Booking Charges,Cobranças da Reserva Aérea
Air Booking Packages,Volumes da Reserva Aérea
Air Consolidation,Consolidação Aérea
Air Consolidation Charges,Cobranças de Consolidação Aérea
Air Consolidation Packages,Volumes de Consolidação Aérea
Air Consolidation Report,Relatório de Consolidação Aérea
Air Freight,Frete Aéreo
Air Freight On-Time Performance Report,Relatório de Air Freight On-Time Performance
Air Freight Performance Dashboard,Painel de Air Freight Performance
Air Freight Settings,Configurações de Frete Aéreo
Air Shipment,Embarque Aéreo (Air Shipment)
Air Shipment Charges,Cobranças do Embarque Aéreo
Air Shipment Packages,Volumes de Embarque Aéreo (Air Shipment)
Air Shipment Status Report,Relatório de Air Shipment Status
Airline,Companhia Aérea
Airline Performance Report,Relatório de Airline Performance
Airport,Aeroporto
Alert Settings,Configurações de Alert
Amount,Valor
Amount Details,Detalhes de Valor
Apply Charges,Cobranças de Apply
Apply Selected Charges,Cobranças de Apply Selected
Approved,Aprovado
Arrival Date,Data de Chegada (ETA)
Arrived,Chegou ao Destino
Attachment,Anexo
Attachments,Anexos
Auto-Populate Settings,Configurações de Auto-Populate
Auto-Populate UNLOCO Details,Detalhes de Auto-Populate UNLOCO
Bill To,Faturar Para
Billing Currency,Moeda de Faturamento
Billing Settings,Configurações de Billing
Billing Status Report,Relatório de Billing Status
Billing Time Settings,Configurações de Billing Time
Booking Confirmed,Reserva Confirmada
Booking Details,Detalhes de Booking
Branch,Filial
Business Settings,Configurações de Business
CO2 Emission Calculator,Calculadora de Emissão de CO2
CT Accounting Finance Summary,Resumo de CT Accounting Finance
CT GP Summary,Resumo de CT GP
CT HR Summary,Resumo de CT HR
CT Haulage Intercompany Charges,Cobranças de CT Haulage Intercompany
CT IT Summary,Resumo de CT IT
Calculate Volume,Calcular Volume e Peso Taxável
Calculation Details,Detalhes de Calculation
Calculation Settings,Configurações de Calculation
Canada eManifest Settings,Configurações de Canada eManifest
Cancelled,Cancelado
Capacity Forecasting Report,Relatório de Capacity Forecasting
Capacity Settings,Configurações de Capacity
Carbon Emission Log,Registro de Emissões de Carbono
Carbon Footprint Dashboard,Painel de Carbon Footprint
Carbon Footprint Report,Relatório de Carbon Footprint
Cargo Details,Detalhes da Mercadoria
CargoNext,CargoNext
CargoNext Logistics Hub,Central de Logística CargoNext
Carrier,Transportadora / Companhia
Cash Acknowledgment,Recibo de Caixa
Cash Advance,Adiantamento de Despesas
Cash Advance Liquidation,Prestação de Contas de Adiantamento
Cash Advance Request,Solicitação de Adiantamento
Cash Advance Settings,Configurações de Adiantamento
Certificate of Origin,Certificado de Origem
Charge Line,Linha de Cobrança
Charge Type,Tipo de Cobrança
Chargeable Weight,Peso Taxável
Charges,Cobranças e Tarifas
City,Cidade
Closed,Fechado
Code,Código
Commercial Invoice,Fatura Comercial (Commercial Invoice)
Commercial Invoice Charges,Cobranças de Fatura Comercial (Commercial Invoice)
Commodity,Descrição da Mercadoria
Company,Empresa
Completed,Concluído
Compliance Settings,Configurações de Compliance
Consignee,Importador / Destinatário (Consignee)
Consolidation Charges,Cobranças de Consolidation
Consolidation Details,Detalhes de Consolidation
Consolidation Packages,Volumes de Consolidation
Consolidation Savings Report,Relatório de Consolidation Savings
Consolidation Settings,Configurações de Consolidation
Contact,Contato
Container,Contêiner
Container Charges,Cobranças de Contêiner
Container Deposit,Depósito / Caução de Contêiner
Container Deposit Report,Relatório de Depósito / Caução de Contêiner
Container Management,Gestão de Contêineres
Container Penalty Report,Relatório de Container Penalty
Container Status Report,Relatório de Container Status
Container Utilization Report,Relatório de Container Utilization
Control Tower,Torre de Controle
Control Tower GP Target,Meta de Lucro Bruto (GP)
Control Tower Organization,Organização da Torre de Controle
Cost Analysis Report,Relatório de Cost Analysis
Cost Center,Centro de Custo
Country,País
Create Purchase Invoice,Gerar Fatura de Compra
Create Sales Invoice,Gerar Fatura de Venda
Cross Module Summary Report,Relatório de Cross Module Summary
Cross-Docking Order,Ordem de Cross-Docking
Cross-Docking Order Charges,Cobranças de Ordem de Cross-Docking
Customer,Cliente
Customs,Desembaraço Aduaneiro
Customs Broker,Despachante Aduaneiro
Customs Cleared,Desembaraçado
Customs Compliance Report,Relatório de Customs Compliance
Customs Dashboard,Painel de Desembaraço Aduaneiro
Customs Details,Detalhes de Desembaraço Aduaneiro
Customs Settings,Configurações de Desembaraço Aduaneiro
Customs Tariff,Tarifa Aduaneira
DST Zone Details,Detalhes de DST Zone
Dangerous Goods Compliance Report,Relatório de Dangerous Goods Compliance
Dangerous Goods Declaration,Declaração de Cargas Perigosas (DGD)
Dangerous Goods Declaration Packages,Volumes de Declaração de Cargas Perigosas (DGD)
Dangerous Goods Packages,Volumes de Dangerous Goods
Dashboard,Painel de Controle
Date,Data
Declaration,Declaração Aduaneira
Declaration Charges,Cobranças de Declaração Aduaneira
Declaration Details,Detalhes de Declaração Aduaneira
Declaration Order,Ordem de Desembaraço Aduaneiro
Declaration Order Charges,Cobranças de Ordem de Desembaraço Aduaneiro
Declaration Settings,Configurações de Declaração Aduaneira
Declaration Status Report,Relatório de Declaration Status
Declaration Value Report,Relatório de Declaration Value
Default Settings,Configurações de Default
Delayed,Atrasado
Delivered,Entregue
Demurrage,Demurrage (Sobrestadia de Contêiner)
Density Factor,Fator de Cubagem
Departure Date,Data de Saída (ETD)
Description,Descrição
Destination,Destino
Destination Details,Detalhes de Destino
Details,Detalhes
Detention,Detention (Retenção de Contêiner)
Dimensions,Dimensões
Disabled,Desabilitado
Docket,Dossiê Operacional
Docking Details,Detalhes de Docking
Document Settings,Configurações de Document
Document Summary,Resumo de Document
Documents,Documentos e Anexos
Download PDF,Baixar PDF
Driver Performance Report,Relatório de Driver Performance
Drop Details,Detalhes de Drop
Drop Window,Janela de Entrega
Email,E-mail
Employee,Colaborador
Enabled,Habilitado
Energy Consumption Report,Relatório de Energy Consumption
Energy Efficiency Report,Relatório de Energy Efficiency
Error Details,Detalhes de Error
Estimated Cost,Custo Estimado
Estimated Revenue,Receita Estimada
Event Job Details,Detalhes de Event Job
Event Leg Details,Detalhes de Event Leg
Exhibit,Feira / Exposição
Exhibit Activity Status Report,Relatório de Exhibit Activity Status
Exhibit Billing Status Report,Relatório de Exhibit Billing Status
Exhibit Charges,Cobranças de Feira / Exposição
Exhibit Consolidation Charges,Cobranças de Exhibit Consolidation
Exhibit Pipeline Report,Relatório de Exhibit Pipeline
